Responses form NEC M551 display.

Input commands offer no response. Only power Off and Standby do, Power on commands do not generate a response from the device. When the device is on we get continuous Schedule reponses which could be used to determine Power On state(keep in mind this response includes day so it will variate)




Power Off

[2024-09-27 08:45:28.296][INFO][App 1][displayDRight] Send: '[01][30][41][30][41][30][36][02][30][31][64][36][03][54][0D]'
[2024-09-27 08:45:28.297][INFO][App 1][displayDRight] Send: '[01][30][41][30][43][30][36][02][30][30][36][30][03][03][0D]'
[2024-09-27 08:45:28.297][INFO][App 1][DisplayELeft] Send: '[01][30][41][30][41][30][36][02][30][31][64][36][03][54][0D]'
[2024-09-27 08:45:28.298][INFO][App 1][DisplayELeft] Send: '[01][30][41][30][43][30][36][02][30][30][36][30][03][03][0D]'
[2024-09-27 08:45:28.299][INFO][App 1][DisplayERight] Send: '[01][30][41][30][41][30][36][02][30][31][64][36][03][54][0D]'
[2024-09-27 08:45:28.300][INFO][App 1][DisplayERight] Send: '[01][30][41][30][43][30][36][02][30][30][36][30][03][03][0D]'
[2024-09-27 08:45:28.428][INFO][App 1][displayCLeft] Gathered: '[01][30][30][41][42][30][34][02][42][45][03][01]'
[2024-09-27 08:45:28.430][INFO][App 1][displayCLeft] ID Match!
[2024-09-27 08:45:29.040][INFO][App 1][displayCLeft] Gathered: '[01][30][30][41][44][31][32][02][30][30][30][30][36][30][30][30][30][30][38][38][30][30][31][32][03][02]'
[2024-09-27 08:45:29.041][INFO][App 1][displayCLeft] ID Match!



